nkid,ngir,yrbirth,hours,wagert,school,jobten,cpi,black,other,age,mcol,mhigh,fcol,fhigh,manager,prof,self,crafts,labor,farm,married,never,divorce,psidJAN,psidFEB,psidMARCH,psidAPRIL,psidMAY,psidJUNE,psidJULY,psidAUG,psidSEPT,psidOCT,psidNOV,psidDEC
0,0,1946,2480,24.19,17,9,1.4,0,0,46,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,2,1958,3604,6.38,16,10,1.4,0,0,34,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2,1956,2040,15.2,12,72,1.4,0,0,36,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
3,2,1951,2600,9.62,12,24,1.4,0,0,41,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
2,1,1957,1944,13.37,14,180,1.4,0,0,35,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1,1,1943,1799,10.01,16,36,1.4,0,0,49,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,0,1960,2205,23.13,14,132,1.4,0,0,32,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
0,0,1962,2040,9.31,12,72,1.4,0,0,30,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,1,1956,1982,26.24,12,168,1.4,0,0,36,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,0,1949,2792,26.15,17,48,1.4,0,0,43,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2,2,1960,2480,19.68,16,18,1.4,0,0,32,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,1958,2300,19.57,9,60,1.4,0,0,34,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
2,1,1949,2282,14.9,16,48,1.4,0,0,43,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1,1,1959,3200,5.94,17,24,1.4,0,0,33,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,0,1954,2561,20.1,17,60,1.4,0,0,38,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2,2,1959,2455,26.48,16,72,1.4,0,0,33,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,0,1940,2024,27.05,16,252,1.4,0,0,52,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0,0,1966,2450,32.24,16,18,1.4,0,0,26,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
0,0,1970,1175,4.43,16,1,1.4,0,0,22,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2,1,1949,2080,17.79,16,120,1.4,0,0,43,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
1,1,1957,1960,20.41,14,84,1.4,0,0,35,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
